ID,Nome
M1,Chair Leg (Oak 18" length 2" diameter)
M2,Seat Base (Oak 18" x 18" x 1" thick)
M3,Backrest (Oak 18" x 12" x 1" thick)
M4,Support Bar (Oak 14" length 1" x 1" thick)
M5,Frame Tube (Aluminum 1" diameter 20" length)
M6,Wheel Rim (Aluminum 26" diameter)
M7,Bicycle Tire (Rubber 26" diameter)
M8,Brake Pad (Rubber)
M9,Bicycle Chain (Steel 40 links)
M10,Table Top Plank (Oak 40" x 10" x 1" thick)
M11,Table Leg (Oak 30" x 2" diameter)
M12,Book Page Paper (A4 size)
M13,Book Binding Glue
M14,Book Cover (Hardcover 8.5" x 11")
